,city,country,population,year
2550,Adana,Turkey,1636229.0,2012
5787,Guadalajara,Mexico,1633053.0,1995
371,Barcelona,Spain,1630867.0,1994
7038,Houston,United States,1630553.0,1990
4405,Nagpur,India,1624752.0,1991
4990,Bekasi,Indonesia,1622170.0,2000
5848,Ecatepec,Mexico,1621827.0,2000
7463,Medellín,Colombia,1621356.0,1995
6189,Montréal,Canada,1620693.0,2006
8812,Quito,Ecuador,1619146.0,2010
4469,Lucknow,India,1619115.0,1991
4440,Ludhiana,India,1618879.0,2011
1387,Kharkiv,Ukraine,1618000.0,1990
3438,Lanzhou,China,1617761.0,1990
7805,Santa Cruz de la Sierra,Bolivia,1616063.0,2010
4069,Karaj,Iran,1614626.0,2011
3765,Kunming,China,1611969.0,1990
373,Barcelona,Spain,1611013.0,2011
1386,Kharkiv,Ukraine,1610000.0,1989
3886,Esfahan,Iran,1602110.0,2006
5789,Guadalajara,Mexico,1600894.0,2005
4279,Chittagong,Bangladesh,1598967.0,1991
4392,Indore,India,1597441.0,2001
7037,Houston,United States,1595138.0,1980
638,Hamburg,Germany,1592770.0,1987
3715,Linyi,China,1590160.0,1990
8109,Curitiba,Brazil,1587315.0,2000
4480,Agra,India,1585704.0,2011
6986,Philadelphia,United States,1585577.0,1990
6188,Montréal,Canada,1583590.0,2001
511,Wien,Austria,1583000.0,1994
5134,Halab,Syria,1582930.0,1994
5534,Manila,Philippines,1581082.0,2000
78,Beograd,Serbia,1576124.0,2002
4408,Pune,India,1566651.0,1991
4998,Semarang,Indonesia,1555984.0,2010
6989,Philadelphia,United States,1553165.0,2013
5132,Dimashq,Syria,1552161.0,2004
512,Wien,Austria,1550123.0,2001
5301,Kobe,Japan,1544200.0,2010
1119,Minsk,Belarus,1540000.0,1987
510,Wien,Austria,1539848.0,1991
8154,Recife,Brazil,1537704.0,2010
3480,Guiyang,China,1530000.0,1991
5486,Sana'a,Yemen,1527861.0,2004
2707,Kocaeli,Turkey,1527407.0,2012
6988,Philadelphia,United States,1526006.0,2010
5300,Kobe,Japan,1525393.0,2005
4604,Hanoi,Vietnam,1523936.0,1999
2087,Novosibirsk,Russia,1523801.0,2013
3766,Kunming,China,1520000.0,1991
7635,Brisbane,Australia,1520000.0,1996
6987,Philadelphia,United States,1517562.0,2000
9551,Kampala,Uganda,1516210.0,2014
8632,Brasília,Brazil,1515889.0,1991
6246,Phoenix,United States,1513367.0,2013
5302,Kobe,Japan,1512109.0,2012
3439,Lanzhou,China,1510000.0,1991
8813,Guayaquil,Ecuador,1508444.0,1990
4657,Almaty,Kazakhstan,1507737.0,2014
8822,Algiers,Algeria,1507241.0,1987
370,Barcelona,Spain,1505581.0,1991
372,Barcelona,Spain,1503884.0,2001
8877,Tripoli,Libya,1500000.0,1990
3495,Tangshan,China,1500000.0,1991
4362,Surat,India,1498817.0,1991
5401,Daejeon,South Korea,1495453.0,2010
5790,Guadalajara,Mexico,1495182.0,2010
3864,Tabriz,Iran,1494998.0,2011
5299,Kobe,Japan,1493398.0,2000
4419,Nashik,India,1486053.0,2011
9206,Harare,Zimbabwe,1485231.0,2012
3494,Tangshan,China,1484515.0,1990
9089,Ouagadougou,Burkina Faso,1475223.0,2006
5278,Kyoto,Japan,1474811.0,2005
5277,Kyoto,Japan,1474471.0,2000
5279,Kyoto,Japan,1474015.0,2010
2086,Novosibirsk,Russia,1473754.0,2010
1388,Kharkiv,Ukraine,1470902.0,2001
5397,Gwangju,South Korea,1469293.0,2010
8108,Curitiba,Brazil,1465698.0,1996
